PROV_URI,PROV_NOMBRE
"http://opendata.aragon.es/recurso/territorio/Provincia/Teruel","Teruel"
"http://opendata.aragon.es/recurso/territorio/Provincia/Zaragoza","Zaragoza"
"http://opendata.aragon.es/recurso/territorio/Provincia/Huesca","Huesca"
