COM_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Jacetania","http://es.dbpedia.org/resource/La_Jacetania"
"http://opendata.aragon.es/recurso/territorio/Comarca/Comunidad_de_Calatayud","http://es.dbpedia.org/resource/Comunidad_de_Calatayud"
"http://opendata.aragon.es/recurso/territorio/Comarca/Somontano_de_Barbastro","http://es.dbpedia.org/resource/Somontano_de_Barbastro"
"http://opendata.aragon.es/recurso/territorio/Comarca/Sobrarbe","http://es.dbpedia.org/resource/Sobrarbe"
"http://opendata.aragon.es/recurso/territorio/Comarca/Los_Monegros","http://es.dbpedia.org/resource/Los_Monegros"
"http://opendata.aragon.es/recurso/territorio/Comarca/Hoya_de_Huesca/Plana_de_Uesca","http://es.dbpedia.org/resource/Plana_de_Uesca"
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Litera/La_Llitera","http://es.dbpedia.org/resource/La_Llitera"
"http://opendata.aragon.es/recurso/territorio/Comarca/Cinca_Medio","http://es.dbpedia.org/resource/Cinca_Medio"
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Ribagorza","http://es.dbpedia.org/resource/La_Ribagorza"
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Cinca/Baix_Cinca","http://es.dbpedia.org/resource/Bajo_Cinca"
"http://opendata.aragon.es/recurso/territorio/Comarca/Alto_Gállego","http://es.dbpedia.org/resource/Alto_Gállego"
"http://opendata.aragon.es/recurso/territorio/Comarca/Gúdar-Javalambre","http://es.dbpedia.org/resource/Gúdar-Javalambre"
"http://opendata.aragon.es/recurso/territorio/Comarca/Comunidad_de_Teruel","http://es.dbpedia.org/resource/Comunidad_de_Teruel"
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Aragón","http://es.dbpedia.org/resource/Bajo_Aragón"
"http://opendata.aragon.es/recurso/territorio/Comarca/Andorra-Sierra_de_Arcos","http://es.dbpedia.org/resource/Andorra-Sierra_de_Arcos"
"http://opendata.aragon.es/recurso/territorio/Comarca/Sierra_de_Albarracín","http://es.dbpedia.org/resource/Sierra_de_Albarracín"
"http://opendata.aragon.es/recurso/territorio/Comarca/Cuencas_Mineras","http://es.dbpedia.org/resource/Cuencas_Mineras"
"http://opendata.aragon.es/recurso/territorio/Comarca/Maestrazgo","http://es.dbpedia.org/resource/Maestrazgo"
"http://opendata.aragon.es/recurso/territorio/Comarca/Jiloca","http://es.dbpedia.org/resource/Jiloca"
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Martín","http://es.dbpedia.org/resource/Bajo_Martín"
"http://opendata.aragon.es/recurso/territorio/Comarca/Matarraña/Matarranya","http://es.dbpedia.org/resource/Matarraña"
"http://opendata.aragon.es/recurso/territorio/Comarca/Aranda","http://es.dbpedia.org/resource/Aranda"
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Daroca","http://es.dbpedia.org/resource/Campo_de_Daroca"
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Borja","http://es.dbpedia.org/resource/Campo_de_Borja"
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Cariñena","http://es.dbpedia.org/resource/Campo_de_Cariñena"
"http://opendata.aragon.es/recurso/territorio/Comarca/Ribera_Alta_del_Ebro","http://es.dbpedia.org/resource/Ribera_Alta_del_Ebro"
"http://opendata.aragon.es/recurso/territorio/Comarca/Ribera_Baja_del_Ebro","http://es.dbpedia.org/resource/Ribera_Baja_del_Ebro"
"http://opendata.aragon.es/recurso/territorio/Comarca/D.C._Zaragoza","http://es.dbpedia.org/resource/Comarca_de_Zaragoza"
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Belchite","http://es.dbpedia.org/resource/Campo_de_Belchite"
"http://opendata.aragon.es/recurso/territorio/Comarca/Valdejalón","http://es.dbpedia.org/resource/Valdejalón"
"http://opendata.aragon.es/recurso/territorio/Comarca/Cinco_Villas","http://es.dbpedia.org/resource/Cinco_Villas"
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Aragón-Caspe/Baix_Aragó-Casp","http://es.dbpedia.org/resource/Bajo_Aragón-Caspe"
"http://opendata.aragon.es/recurso/territorio/Comarca/Tarazona_y_el_Moncayo","http://es.dbpedia.org/resource/Tarazona_y_el_Moncayo"
