NUC_COD,NUC_NOMBRE,MUN_COD,MUN_NOMBRE,PROV_COD,PROV_NOMBRE,COM_COD,COM_NOMBRE,CCAA_COD,CCAA_NOMBRE,SHP_AREA,SHP_LEN,geometry
22157000800,Estet,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,9727.78419410000,570.69846566900,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.713844,42.52343 0.713955,42.523701 0.714701,42.523943 0.714974,42.523873 0.715079,42.523765 0.714802,42.523463 0.715191,42.523202 0.715441,42.523359 0.716171,42.522756 0.71599,42.522597 0.715317,42.52272 0.71473,42.523268 0.713844,42.52343</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001000,Forcat,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,9440.30166438000,390.63556948100,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.7189,42.511432 0.719119,42.511429 0.719292,42.511162 0.719592,42.511023 0.719565,42.510744 0.719105,42.510189 0.718238,42.510338 0.718468,42.510864 0.7189,42.511432</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157000900,Fonchanina,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,7159.53466671000,310.40499364400,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.656734,42.512012 0.656978,42.511702 0.656829,42.511262 0.656536,42.51114 0.655931,42.511336 0.655829,42.51171 0.655949,42.511923 0.656391,42.512086 0.656734,42.512012</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001600,Viñal,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,6073.60528308000,317.20080683000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.713993,42.505327 0.713735,42.505841 0.714337,42.50607 0.714892,42.506123 0.715065,42.505838 0.714978,42.505552 0.714522,42.50554 0.713993,42.505327</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157000301,Benifons,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,9520.39586251000,419.61934149300,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.661875,42.468612 0.661542,42.468397 0.66092,42.46888 0.660606,42.468724 0.660254,42.469299 0.661016,42.46956 0.661779,42.469162 0.661875,42.468612</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157000501,Castanesa,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,55600.05498720000,1368.77362028000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.662295,42.49974 0.663591,42.49968 0.664185,42.499127 0.664196,42.498485 0.662078,42.4985 0.660503,42.498746 0.659637,42.498756 0.659567,42.498384 0.660484,42.497998 0.660177,42.497688 0.658566,42.498131 0.658866,42.499155 0.660123,42.499649 0.661556,42.499461 0.662295,42.49974</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001101,Ginasté,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,33336.41689100000,719.85846800800,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.715005,42.497589 0.716058,42.495942 0.715485,42.495468 0.714345,42.495146 0.713558,42.496673 0.714579,42.497558 0.715005,42.497589</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001400,Ribera,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,5930.11225907000,336.67737577700,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.646526,42.495666 0.646821,42.496031 0.647263,42.496159 0.647585,42.495962 0.647049,42.49544 0.646953,42.495009 0.646683,42.495055 0.646513,42.49527 0.646526,42.495666</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157001700,Ervera,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,4047.95993881000,258.17633929000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.658233,42.469572 0.657287,42.469543 0.657139,42.469687 0.657598,42.470099 0.658357,42.469848 0.658233,42.469572</coordinates></LinearRing></outerBoundaryIs></Polygon>"
22157000200,Ardanuy,22157,Montanuy,22,Huesca,4,La Ribagorza,02,Aragón,12325.01999750000,569.71497708600,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.662428,42.482795 0.662471,42.482334 0.662255,42.481953 0.661942,42.480839 0.661517,42.480884 0.661723,42.482062 0.661557,42.482292 0.661479,42.482836 0.661944,42.483005 0.662428,42.482795</coordinates></LinearRing></outerBoundaryIs></Polygon>"
