MUN_URI,WIKIPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Arguis","http://es.wikipedia.org/wiki/Arguis"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azanuy-Alins","http://es.wikipedia.org/wiki/Azanuy-Alins"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ayerbe","http://es.wikipedia.org/wiki/Ayerbe"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azara","http://es.wikipedia.org/wiki/Azara"
"http://opendata.aragon.es/recurso/territorio/Municipio/Baells","http://es.wikipedia.org/wiki/Baells"
"http://opendata.aragon.es/recurso/territorio/Municipio/Azlor","http://es.wikipedia.org/wiki/Azlor"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bailo","http://es.wikipedia.org/wiki/Bailo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Baldellou","http://es.wikipedia.org/wiki/Baldellou"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ballobar","http://es.wikipedia.org/wiki/Ballobar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Banastás","http://es.wikipedia.org/wiki/Banastás"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbastro","http://es.wikipedia.org/wiki/Barbastro"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbués","http://es.wikipedia.org/wiki/Barbués"
"http://opendata.aragon.es/recurso/territorio/Municipio/Barbuñales","http://es.wikipedia.org/wiki/Barbuñales"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bárcabo","http://es.wikipedia.org/wiki/Bárcabo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Benabarre","http://es.wikipedia.org/wiki/Benabarre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Benasque","http://es.wikipedia.org/wiki/Benasque"
"http://opendata.aragon.es/recurso/territorio/Municipio/Berbegal","http://es.wikipedia.org/wiki/Berbegal"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bielsa","http://es.wikipedia.org/wiki/Bielsa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bierge","http://es.wikipedia.org/wiki/Bierge"
"http://opendata.aragon.es/recurso/territorio/Municipio/Biescas","http://es.wikipedia.org/wiki/Biescas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Binaced","http://es.wikipedia.org/wiki/Binaced"
"http://opendata.aragon.es/recurso/territorio/Municipio/Binéfar","http://es.wikipedia.org/wiki/Binéfar"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bisaurri","http://es.wikipedia.org/wiki/Bisaurri"
"http://opendata.aragon.es/recurso/territorio/Municipio/Biscarrués","http://es.wikipedia.org/wiki/Biscarrués"
"http://opendata.aragon.es/recurso/territorio/Municipio/Bonansa","http://es.wikipedia.org/wiki/Bonansa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Boltaña","http://es.wikipedia.org/wiki/Boltaña"
"http://opendata.aragon.es/recurso/territorio/Municipio/Camporrells","http://es.wikipedia.org/wiki/Camporrells"
"http://opendata.aragon.es/recurso/territorio/Municipio/Borau","http://es.wikipedia.org/wiki/Borau"
"http://opendata.aragon.es/recurso/territorio/Municipio/Broto","http://es.wikipedia.org/wiki/Broto"
"http://opendata.aragon.es/recurso/territorio/Municipio/Caldearenas","http://es.wikipedia.org/wiki/Caldearenas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Campo","http://es.wikipedia.org/wiki/Campo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Candasnos","http://es.wikipedia.org/wiki/Candasnos"
"http://opendata.aragon.es/recurso/territorio/Municipio/Canfranc","http://es.wikipedia.org/wiki/Canfranc"
"http://opendata.aragon.es/recurso/territorio/Municipio/Capdesaso","http://es.wikipedia.org/wiki/Capdesaso"
"http://opendata.aragon.es/recurso/territorio/Municipio/Capella","http://es.wikipedia.org/wiki/Capella"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castelflorite","http://es.wikipedia.org/wiki/Castelflorite"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castigaleu","http://es.wikipedia.org/wiki/Castigaleu"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castillazuelo","http://es.wikipedia.org/wiki/Castillazuelo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Castillonroy","http://es.wikipedia.org/wiki/Castillonroy"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chalamera","http://es.wikipedia.org/wiki/Chalamera"
"http://opendata.aragon.es/recurso/territorio/Municipio/Colungo","http://es.wikipedia.org/wiki/Colungo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chimillas","http://es.wikipedia.org/wiki/Chimillas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Estada","http://es.wikipedia.org/wiki/Estada"
"http://opendata.aragon.es/recurso/territorio/Municipio/Esplús","http://es.wikipedia.org/wiki/Esplús"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fago","http://es.wikipedia.org/wiki/Fago"
"http://opendata.aragon.es/recurso/territorio/Municipio/Estadilla","http://es.wikipedia.org/wiki/Estadilla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chía","http://es.wikipedia.org/wiki/Chía"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fanlo","http://es.wikipedia.org/wiki/Fanlo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fiscal","http://es.wikipedia.org/wiki/Fiscal"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fonz","http://es.wikipedia.org/wiki/Fonz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Gistaín","http://es.wikipedia.org/wiki/Gistaín"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fraga","http://es.wikipedia.org/wiki/Fraga"
"http://opendata.aragon.es/recurso/territorio/Municipio/Grañén","http://es.wikipedia.org/wiki/Grañén"
"http://opendata.aragon.es/recurso/territorio/Municipio/Graus","http://es.wikipedia.org/wiki/Graus"
"http://opendata.aragon.es/recurso/territorio/Municipio/Huerto","http://es.wikipedia.org/wiki/Huerto"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ibieca","http://es.wikipedia.org/wiki/Ibieca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Igriés","http://es.wikipedia.org/wiki/Igriés"
"http://opendata.aragon.es/recurso/territorio/Municipio/Huesca","http://es.wikipedia.org/wiki/Huesca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ilche","http://es.wikipedia.org/wiki/Ilche"
"http://opendata.aragon.es/recurso/territorio/Municipio/Isábena","http://es.wikipedia.org/wiki/Isábena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jaca","http://es.wikipedia.org/wiki/Jaca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Labuerda","http://es.wikipedia.org/wiki/Labuerda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jasa","http://es.wikipedia.org/wiki/Jasa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laluenga","http://es.wikipedia.org/wiki/Laluenga"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lalueza","http://es.wikipedia.org/wiki/Lalueza"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lanaja","http://es.wikipedia.org/wiki/Lanaja"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laperdiguera","http://es.wikipedia.org/wiki/Laperdiguera"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lascellas-Ponzano","http://es.wikipedia.org/wiki/Lascellas-Ponzano"
"http://opendata.aragon.es/recurso/territorio/Municipio/Loarre","http://es.wikipedia.org/wiki/Loarre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laspuña","http://es.wikipedia.org/wiki/Laspuña"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lascuarre","http://es.wikipedia.org/wiki/Lascuarre"
