MUN_URI,DBPEDIA_LINK
"http://opendata.aragon.es/recurso/territorio/Municipio/Castillonroy","http://es.dbpedia.org/resource/Castillonroy"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chalamera","http://es.dbpedia.org/resource/Chalamera"
"http://opendata.aragon.es/recurso/territorio/Municipio/Colungo","http://es.dbpedia.org/resource/Colungo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chimillas","http://es.dbpedia.org/resource/Chimillas"
"http://opendata.aragon.es/recurso/territorio/Municipio/Estada","http://es.dbpedia.org/resource/Estada"
"http://opendata.aragon.es/recurso/territorio/Municipio/Esplús","http://es.dbpedia.org/resource/Esplús"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fago","http://es.dbpedia.org/resource/Fago"
"http://opendata.aragon.es/recurso/territorio/Municipio/Estadilla","http://es.dbpedia.org/resource/Estadilla"
"http://opendata.aragon.es/recurso/territorio/Municipio/Chía","http://es.dbpedia.org/resource/Chía"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fanlo","http://es.dbpedia.org/resource/Fanlo"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fiscal","http://es.dbpedia.org/resource/Fiscal"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fonz","http://es.dbpedia.org/resource/Fonz"
"http://opendata.aragon.es/recurso/territorio/Municipio/Gistaín","http://es.dbpedia.org/resource/Gistaín"
"http://opendata.aragon.es/recurso/territorio/Municipio/Fraga","http://es.dbpedia.org/resource/Fraga"
"http://opendata.aragon.es/recurso/territorio/Municipio/Grañén","http://es.dbpedia.org/resource/Grañén"
"http://opendata.aragon.es/recurso/territorio/Municipio/Graus","http://es.dbpedia.org/resource/Graus"
"http://opendata.aragon.es/recurso/territorio/Municipio/Huerto","http://es.dbpedia.org/resource/Huerto"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ibieca","http://es.dbpedia.org/resource/Ibieca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Igriés","http://es.dbpedia.org/resource/Igriés"
"http://opendata.aragon.es/recurso/territorio/Municipio/Huesca","http://es.dbpedia.org/resource/Huesca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ilche","http://es.dbpedia.org/resource/Ilche"
"http://opendata.aragon.es/recurso/territorio/Municipio/Isábena","http://es.dbpedia.org/resource/Isábena"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jaca","http://es.dbpedia.org/resource/Jaca"
"http://opendata.aragon.es/recurso/territorio/Municipio/Labuerda","http://es.dbpedia.org/resource/Labuerda"
"http://opendata.aragon.es/recurso/territorio/Municipio/Jasa","http://es.dbpedia.org/resource/Jasa"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laluenga","http://es.dbpedia.org/resource/Laluenga"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lalueza","http://es.dbpedia.org/resource/Lalueza"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lanaja","http://es.dbpedia.org/resource/Lanaja"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laperdiguera","http://es.dbpedia.org/resource/Laperdiguera"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lascellas-Ponzano","http://es.dbpedia.org/resource/Lascellas-Ponzano"
"http://opendata.aragon.es/recurso/territorio/Municipio/Loarre","http://es.dbpedia.org/resource/Loarre"
"http://opendata.aragon.es/recurso/territorio/Municipio/Laspuña","http://es.dbpedia.org/resource/Laspuña"
"http://opendata.aragon.es/recurso/territorio/Municipio/Lascuarre","http://es.dbpedia.org/resource/Lascuarre"
